FCL code,FCL label,HS code,If partial,Irrigated_Crops,Match,,,HS6
947,Buffalo meat,20110,*,Sesame two,#N/A,,,HS
947,Buffalo meat,20120,*,Sesame one,#N/A,,,HS
947,Buffalo meat,20130,*,Permanent pastures,#N/A,,,HS
951,Buffalo milk,40120,*,Yuca,#N/A,,,HS
951,Buffalo milk,40130,*,Soybeans one,#N/A,,,HS
946,Buffaloes,10210,*,Soybeans two,#N/A,,,HS
946,Buffaloes,10290,*,Soybeans three,#N/A,,,HS
21,Bulgur,190430,*,Rice two (Summer),#N/A,,,HS
983,Butter and Ghee of Sheep Milk,40510,*,Rice one (Spring),#N/A,,,HS
983,Butter and Ghee of Sheep Milk,40520,*,Sweet potatoes two,#N/A,,,HS
983,Butter and Ghee of Sheep Milk,40590,*,Sweet potatoes one,#N/A,,,HS
952,Butter of Buffalo Milk,40510,*,Rice three (Autumn),#N/A,,,HS
952,Butter of Buffalo Milk,40520,*,Qat,#N/A,,,HS
886,Butter of Cow Milk,40510,*,Other summer cereals,#N/A,,,HS
886,Butter of Cow Milk,40520,*,Other winter cereals,#N/A,,,HS
1022,Butter of Goat Milk,40510,*,,,,,
1022,Butter of Goat Milk,40520,*,,,,,
1022,Butter of Goat Milk,40590,*,,,,,
264,Butter of Karite Nuts,151590,*,,,,,
893,"Buttermilk, Curdled Milk, Acidified Milk",40390,*,,,,,
644,Cabbage for fodder,121490,*,,,,,
358,Cabbages,70420,*,,,,,
358,Cabbages,70490,*,,,,,
253,Cake of Copra,230650,*,,,,,
332,Cake of Cottonseed,230610,*,,,,,
245,Cake of Groundnuts,230500,*,,,,,
338,Cake of Hempseed,230690,*,,,,,
314,Cake of Kapok,230690,*,,,,,
335,Cake of Linseed,230620,*,,,,,
61,Cake of Maize,230690,*,,,,,
294,Cake of Mustard Seed,230690,*,,,,,
341,Cake of Oilseeds nes,230690,*,,,,,
259,Cake of Palm Kernel,230660,*,,,,,
298,Cake of Poppy Seed,230690,*,,,,,
272,Cake of Rapeseed,230641,*,,,,,
272,Cake of Rapeseed,230649,*,,,,,
37,Cake of Rice Bran,230690,*,,,,,
282,Cake of Safflower Seed,230690,*,,,,,
291,Cake of Sesame Seed,230690,*,,,,,
238,Cake of Soybeans,230400,*,,,,,
269,Cake of Sunflower Seed,230630,*,,,,,
310240,Calcium ammonium nitrate,310240,*,,,,,
1133,"Camel hides, fresh",410390,*,,,,,
1130,Camel milk,40130,*,,,,,
1130,Camel milk,40120,*,,,,,
1126,Camels,10619,*,,,,,
101,Canary seed,100830,*,,,,,
158,Cane Sugar,170111,*,,,,,
630,Cane Tops,230800,*,,,,,
451,Canned Mushrooms,200310,*,,,,,
451,Canned Mushrooms,200320,*,,,,,
451,Canned Mushrooms,200390,*,,,,,
1441,Captafol & methamidophos (Trade),293050,*,,,,,
461,Carobs,121299,*,,,,,
426,Carrot,70610,*,,,,,
648,Carrots for fodder,121490,*,,,,,
917,Casein,350110,*,,,,,
217,Cashew nuts,80131,*,,,,,
230,"Cashew Nuts, Shelled",80132,*,,,,,
591,Cashewapple,81090,*,,,,,
125,Cassava,71410,*,,,,,
378,Cassava leaves,70990,*,,,,,
128,"Cassava, Dried",71410,*,,,,,
265,Castor Beans,120799,*,,,,,
1273,"Castor Oil, Hydrogenated",151620,*,,,,,
866,Cattle,10210,*,,,,,
866,Cattle,10290,*,,,,,
919,"Cattle hides, fresh",410120,*,,,,,
919,"Cattle hides, fresh",410150,*,,,,,
919,"Cattle hides, fresh",410190,*,,,,,
871,"Cattle, Butcher Fat",150200,*,,,,,
393,Cauliflowers and broccoli,70410,*,,,,,
113,Cereal Preparations,110423,*,,,,,
113,Cereal Preparations,110419,*,,,,,
113,Cereal Preparations,110429,*,,,,,
108,"Cereals, nes",100890,*,,,,,
904,Cheese from Skimmed Cow Milk,40690,*,,,,,
904,Cheese from Skimmed Cow Milk,40640,*,,,,,
904,Cheese from Skimmed Cow Milk,40620,*,,,,,
904,Cheese from Skimmed Cow Milk,40610,*,,,,,
904,Cheese from Skimmed Cow Milk,40630,*,,,,,
901,Cheese from Whole Cow Milk,40610,*,,,,,
901,Cheese from Whole Cow Milk,40620,*,,,,,
901,Cheese from Whole Cow Milk,40630,*,,,,,
901,Cheese from Whole Cow Milk,40640,*,,,,,
901,Cheese from Whole Cow Milk,40690,*,,,,,
955,Cheese of Buffalo Milk,40690,*,,,,,
955,Cheese of Buffalo Milk,40640,*,,,,,
955,Cheese of Buffalo Milk,40630,*,,,,,
955,Cheese of Buffalo Milk,40620,*,,,,,
955,Cheese of Buffalo Milk,40610,*,,,,,
1021,Cheese of Goat Milk,40690,*,,,,,
1021,Cheese of Goat Milk,40640,*,,,,,
1021,Cheese of Goat Milk,40630,*,,,,,
1021,Cheese of Goat Milk,40620,*,,,,,
1021,Cheese of Goat Milk,40610,*,,,,,
984,Cheese of Sheep Milk,40690,*,,,,,
984,Cheese of Sheep Milk,40640,*,,,,,
984,Cheese of Sheep Milk,40610,*,,,,,
984,Cheese of Sheep Milk,40620,*,,,,,
984,Cheese of Sheep Milk,40630,*,,,,,
531,Cherries,80920,*,,,,,
220,Chestnuts,80240,*,,,,,
1058,Chicken meat,20735,*,,,,,
1058,Chicken meat,20733,*,,,,,
1058,Chicken meat,20732,*,,,,,
1058,Chicken meat,20711,*,,,,,
1058,Chicken meat,20713,*,,,,,
1058,Chicken meat,20712,*,,,,,
1058,Chicken meat,20736,*,,,,,
1058,Chicken meat,20714,*,,,,,
1057,Chickens,10511,*,,,,,
1057,Chickens,10519,*,,,,,
1057,Chickens,10594,*,,,,,
1057,Chickens,10599,*,,,,,
191,"Chick-peas, dry",71320,*,,,,,
459,Chicory roots,121299,*,,,,,
401,Chillies and peppers (green),70960,*,,,,,
1440,Chlordimeform (Trade),292521,*,,,,,
1436,Chlorobenzilate (Trade),291818,*,,,,,
666,Chocolate Products nes,180610,*,,,,,
666,Chocolate Products nes,180620,*,,,,,
666,Chocolate Products nes,180631,*,,,,,
666,Chocolate Products nes,180632,*,,,,,
666,Chocolate Products nes,180690,*,,,,,
517,"Cider, etc.",220600,*,,,,,
828,Cigarettes,240220,*,,,,,
828,Cigarettes,240290,*,,,,,
829,Cigars and Cheroots,240290,*,,,,,
829,Cigars and Cheroots,240210,*,,,,,
693,Cinnamon (canella),90611,*,,,,,
693,Cinnamon (canella),90619,*,,,,,
693,Cinnamon (canella),90620,*,,,,,
512,Citrus fruit nes,80590,*,,,,,
514,"Citrus Juice, Concentrated nes",200939,*,,,,,
640,Clover for forage,121490,*,,,,,
698,Cloves,90700,*,,,,,
1031,Coarse goat hair,510220,*,,,,,
661,Cocoa beans,180100,*,,,,,
664,Cocoa Butter,180400,*,,,,,
663,Cocoa Husks and Shells,180200,*,,,,,
662,Cocoa Paste,180310,*,,,,,
665,Cocoa Powder and Cake,180320,*,,,,,
