CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,9.996685298,10.78235341,10.74675128,9.983485122,10.02841242,9.662716409,10.28428083,9.306142123,8.33080893,8.145992413,8.313112893,6.291487317,5.674730403,6.539409334,3.701075465,2.895078894,4.746081768,7.040751965,5.557663161,6.109219481,5.494283791,5.130863153,5.075299866,5.603849031,3.396255135,5.3844786,5.182931963,4.990049639,5.428300965,5.540143718,5.908316487,6.662611969,7.58667691,9.017269036,9.001543646,10.86463421,9.70650765,10.52037056,11.75733123,11.75864239,12.34420123,13.38655921,12.40996893,11.4311487,11.14650895,14.3928419,16.35346357,16.99533485,17.65885848,16.94013291,16.02411269,19.92207496,20.16158886,19.53787411,18.98966,17.33667379,13.92120448,12.81974689,12.67478794,13.09475734,10.44278773,10.6627789
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.70780505,35.63843555,34.28290766,37.14824281,40.13116141,42.7951269,40.03363952,40.78529918,45.5656655,46.42059466,33.11919208,43.47826087,47.11155378,38.20675811,45.04756469,32.33950887,48.49698831,49.57618754,41.94134883,42.74979463,36.21885804,34.88131742,33.64730372,34.416944,40.95663729,42.52956666,46.97787863,52.38770566,52.51854154,42.21885066,50.10763622,58.80294825,60.35373924,64.58169578,64.60088717,63.8000874,63.87048055,66.99459564,65.69596643,63.93434335,55.3232894,63.03359219
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.1084535,131.1296802,118.9816239,96.6818499,96.48621042,101.7697254,98.71046441,102.3678926,95.33797859,98.64389757,115.5558287,85.00316299,84.38199172,83.87459725,81.19327022,81.9905466,87.9135243,79.07678218,64.60367296,78.86724559,79.18066703,73.61076132,72.5085663,72.063072,78.60514596,83.89404821,84.63894426,79.67952923,82.57734838,68.46559387,69.53731774,99.41866913,102.1455248,104.8048033,96.05075125,83.10720991,74.20082753,75.77968142,79.25252192,76.48596076,72.71532474,0
"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.65077139,82.66458433,68.87172584,70.38118775,67.38170347,65.78597225,66.56855956,63.58826123,64.79079867,63.81799798,61.32277308,0,53.83148269,54.16077069,50.9510922,50.24702477,51.96668823,51.02147898,49.54913969,48.03768357,36.88040478,34.65716017,36.45688956,38.04756286,34.07258864,36.17545456,35.81023417,38.2152311,38.75988695,38.30927734,40.09195411,39.49363481,34.19067999,34.95328732,37.43526853,38.12695303,39.78869239,37.70993459,37.00418989,33.26263668,32.06933385,35.85584597,35.6884058,25.28790144,27.49495923
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44828942,20.41173902,23.61770625,27.8336349,27.30319723,27.64394678,21.88381875,22.06871965,19.12601216,20.58798523,22.5362424,24.31642289,26.2583452,27.10155544,26.84806892,25.00937879,29.69554219,32.03597181,32.35054144,33.74304682,33.98912011,35.53234321,36.34176466,40.87253146,42.60934992,40.57012012,34.52456329,44.94956958
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95842956,33.33333333,59.7826087,67.6142132,71.2696004,49.66516478,46.34980374,59.8598806,59.0511293,59.20334137,69.21082134,66.74760674,63.62751594,65.15637991,67.88633336,59.79780872,60.06131177,60.94305272,60.93775522,48.87646182,51.37288535,78.46536152,78.77690728,58.33357811,54.94100406,58.01076657,62.50934712,66.7896002,70.45504526,65.09458399,61.01214926,72.11079219
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95022537,43.33347227,38.93824628,39.83095696,50.68027351,39.33930992,45.05277103,49.07313065,50.3217536,46.8434365,48.96767824,43.6228802,49.68870508,46.66178631,49.7971122,47.93920272,49.98189851,52.75764155,52.5702107,54.32153364,52.97222616,50.88399501,52.57468137,53.16798904,50.56948607,54.79759816,61.44994773,61.44823383,63.11230414,52.26390582,58.59825924,62.36271173,64.09708238,65.25924104,61.81077284,58.45805387,51.9636576,54.72905508,57.20635217,59.65042331,43.55992712,51.48742897
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.79499274,52.53924198,50.51254369,51.61319109,51.16124321,49.97083946,49.33005658,48.53814925,51.25812053,50.64927227,49.58621914,49.17030321
Bolivia,BOL,16.20897522,16.3998358,15.14923972,16.9804742,20.3001702,21.46239554,21.25786164,22.4969373,19.78021978,20.41832669,24.59857639,21.38905962,21.11244019,27.7144666,35.29243801,25.9383183,27.67666051,26.77412861,22.59514375,24.17470347,24.52752006,23.26602387,29.06434691,28.31678002,23.65486385,19.04993348,21.32401227,19.63047537,18.76744688,22.49821611,22.77698214,21.47934686,20.04576178,19.08076519,21.66331174,22.55142162,22.58187058,21.11060289,19.69868489,16.88089935,18.27474497,19.97214923,21.63445508,25.60073445,31.13839052,35.54814293,41.77171427,41.79565675,44.90655599,35.72262483,41.18745614,44.09170185,47.16619662,44.09247953,43.29308799,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,20.27258979,27.82390202
Brazil,BRA,6.281813562,6.420216755,4.008478718,8.933145444,6.460996665,7.503164431,6.530203908,5.677192175,5.990874444,6.671565384,7.029425605,6.4572205,7.272113964,7.844873429,7.673127811,7.218006826,7.013163072,7.245261155,6.692986079,7.240780049,8.962394873,9.622840371,7.900484525,12.24375557,15.03541254,12.9485791,9.21727907,9.828482027,11.66735855,8.929609672,8.197238059,8.677636704,10.86831221,10.50327167,9.513076427,7.528875039,6.730209685,6.983649577,7.030500335,9.56489826,10.18804801,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,10.85137113,10.86558477,11.58251268,11.87753907,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.63499949,14.12291919,16.79506843,20.09727521
