"FCL code","FCL label","HS code","If partial"
"0340","Oil of Vegetable Origin nes","150990","*"
"0341","Cake of Oilseeds nes","230690","*"
"0343","Flour of Oilseeds","120810","*"
"0343","Flour of Oilseeds","120890","*"
"0358","Cabbages","070420","*"
"0358","Cabbages","070490","*"
"0366","Artichokes","070990","*"
"0367","Asparagus","070920","*"
"0372","Lettuce and chicory","070521","*"
"0372","Lettuce and chicory","070529","*"
"0372","Lettuce and chicory","070519","*"
"0372","Lettuce and chicory","070511","*"
"0373","Spinach","070970","*"
"0378","Cassava leaves","070990","*"
"0388","Tomatoes, fresh","070200","*"
"0390","Juice of Tomatoes","200950","*"
"0391","Paste of Tomatoes","200290","*"
"0392","Tomatoes, Peeled (O/T vinegar)","200210","*"
"0393","Cauliflowers and broccoli","070410","*"
"0394","Pumpkins, squash and gourds","070990","*"
"0397","Cucumbers and gherkins","070700","*"
"0399","Eggplants","070930","*"
"0401","Chillies and peppers (green)","070960","*"
"0402","Onions, shallots (green)","070310","*"
"0403","Onions, dry","070310","*"
"0406","Garlic","070320","*"
"0407","Leeks and other alliaceous vegetables","070390","*"
"0414","Beans, green","070820","*"
"0417","Peas, green","070810","*"
"0420","Broad Beans, Green","070890","*"
"0423","String Beans","070820","*"
"0426","Carrot","070610","*"
"0430","Okra","070990","*"
"0446","Green Corn (Maize)","070990","*"
"0447","Sweet Corn, Frozen","071040","*"
"0448","Sweet Corn, Prepared or Preserved","200580","*"
"0449","Mushrooms","070951","*"
"0449","Mushrooms","070959","*"
"0450","Dried Mushrooms","071239","*"
"0450","Dried Mushrooms","071233","*"
"0450","Dried Mushrooms","071231","*"
"0450","Dried Mushrooms","071232","*"
"0451","Canned Mushrooms","200310","*"
"0451","Canned Mushrooms","200320","*"
"0451","Canned Mushrooms","200390","*"
"0459","Chicory roots","121299","*"
"0460","Vegetable products, fresh or dry nes","121299","*"
"0461","Carobs","121299","*"
"0463","Vegetables, Fresh n.e.s.","070940","*"
"0463","Vegetables, Fresh n.e.s.","070990","*"
"0463","Vegetables, Fresh n.e.s.","070690","*"
"0466","Juice of Vegetables nes","200980","*"
"0466","Juice of Vegetables nes","200990","*"
"0469","Vegetables, Dehydrated","071220","*"
"0469","Vegetables, Dehydrated","071290","*"
"0471","Vegetables in Vinegar","200110","*"
"0471","Vegetables in Vinegar","200190","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200591","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200599","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200559","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200560","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200551","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200540","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","200520","*"
"0473","Vegetables, Frozen","071021","*"
"0473","Vegetables, Frozen","071022","*"
"0473","Vegetables, Frozen","071029","*"
"0473","Vegetables, Frozen","071030","*"
"0473","Vegetables, Frozen","071080","*"
"0473","Vegetables, Frozen","071090","*"
"0474","Vegetables, Temporarily Preserved","071190","*"
"0474","Vegetables, Temporarily Preserved","071159","*"
"0474","Vegetables, Temporarily Preserved","071140","*"
"0474","Vegetables, Temporarily Preserved","071151","*"
"0475","Vegetables, Preserved (Frozen)","200410","*"
"0475","Vegetables, Preserved (Frozen)","200490","*"
"0476","Homogenized Vegetable Preparations","200510","*"
"0486","Bananas","080300","*"
"0489","Plantains","080300","*"
"0490","Oranges","080510","*"
