Country_num,Country_iso,Year,Temperature
C036,AUS,1902,21.5641666666667
C040,AUT,1902,5.3025
C031,AZE,1902,12.2558333333333
C108,BDI,1902,20.2916666666667
C056,BEL,1902,8.4775
C204,BEN,1902,27.4708333333333
C854,BFA,1902,28.4233333333333
C050,BGD,1902,25.0733333333333
C100,BGR,1902,9.7475
C048,BHR,1902,26.4258333333333
C044,BHS,1902,24.0333333333333
C070,BIH,1902,8.47833333333333
C112,BLR,1902,4.64
C084,BLZ,1902,25.1308333333333
C060,BMU,1902,21.3083333333333
C068,BOL,1902,21.1316666666667
C076,BRA,1902,25.0475
C052,BRB,1902,25.7491666666667
C096,BRN,1902,26.5783333333333
C064,BTN,1902,9.60166666666667
C072,BWA,1902,21.1375
C140,CAF,1902,25
C124,CAN,1902,-5.50416666666667
C166,CCK,1902,26.4333333333333
C756,CHE,1902,4.6675
C152,CHL,1902,9.36
C156,CHN,1902,6.68416666666667
C384,CIV,1902,26.5116666666667
C120,CMR,1902,24.4
C180,COD,1902,24.0691666666667
C178,COG,1902,24.3283333333333
C184,COK,1902,23.9583333333333
C170,COL,1902,24.3941666666667
C174,COM,1902,23.0316666666667
C132,CPV,1902,22.7866666666667
C188,CRI,1902,24.2791666666667
C192,CUB,1902,24.7491666666667
C162,CXR,1902,24.95
C136,CYM,1902,26.9083333333333
C196,CYP,1902,17.4375
C203,CZE,1902,6.18
C276,DEU,1902,7.32166666666667
C262,DJI,1902,28.0133333333333
C212,DMA,1902,25.6675
C208,DNK,1902,6.4025
C214,DOM,1902,23.3441666666667
C012,DZA,1902,22.8066666666667
C218,ECU,1902,21.1066666666667
C818,EGY,1902,21.7316666666667
C232,ERI,1902,25.9141666666667
C732,ESH,1902,23.3391666666667
C724,ESP,1902,12.385
C233,EST,1902,2.94
C231,ETH,1902,22.8775
C246,FIN,1902,-1.17333333333333
C242,FJI,1902,24.3541666666667
C238,FLK,1902,6.23916666666667
C250,FRA,1902,9.76416666666667
C234,FRO,1902,4.80666666666667
C583,FSM,1902,26.5333333333333
C266,GAB,1902,24.7083333333333
C826,GBR,1902,7.86833333333333
C268,GEO,1902,7.80833333333333
C288,GHA,1902,27.12
C292,GIB,1902,16.85
C324,GIN,1902,25.8408333333333
C312,GLP,1902,24.8133333333333
C270,GMB,1902,28.05
C624,GNB,1902,27.7625
C226,GNQ,1902,24.21
C300,GRC,1902,13.1075
C308,GRD,1902,25.45
C304,GRL,1902,-20.0491666666667
C320,GTM,1902,23.075
C254,GUF,1902,26.4825
C316,GUM,1902,27.4616666666667
C328,GUY,1902,25.96
C340,HND,1902,24.1433333333333
C191,HRV,1902,9.79666666666667
C332,HTI,1902,23.8275
C348,HUN,1902,9.26916666666667
C360,IDN,1902,25.3683333333333
C356,IND,1902,24.52
C086,IOT,1902,27.4333333333333
C372,IRL,1902,8.82916666666667
C364,IRN,1902,17.2933333333333
C368,IRQ,1902,21.8183333333333
C352,ISL,1902,0.168333333333333
C376,ISR,1902,18.28
C380,ITA,1902,11.7683333333333
C388,JAM,1902,24.8116666666667
C400,JOR,1902,17.7566666666667
C392,JPN,1902,9.95833333333333
C398,KAZ,1902,5.71416666666667
C404,KEN,1902,24.5516666666667
C417,KGZ,1902,1.50166666666667
C116,KHM,1902,26.8566666666667
C296,KIR,1902,27.495
C659,KNA,1902,26.1083333333333
C410,KOR,1902,10.8883333333333
C414,KWT,1902,25.085
C418,LAO,1902,23.5916666666667
C422,LBN,1902,13.7158333333333
C430,LBR,1902,25.5891666666667
C434,LBY,1902,21.8741666666667
C662,LCA,1902,26.015
C438,LIE,1902,5.72416666666667
C144,LKA,1902,26.4358333333333
C426,LSO,1902,10.6375
C440,LTU,1902,4.5
C442,LUX,1902,7.885
C428,LVA,1902,3.89833333333333
C446,MAC,1902,22.3083333333333
C504,MAR,1902,17.0983333333333
C492,MCO,1902,11.7416666666667
C498,MDA,1902,8.83333333333333
C450,MDG,1902,23.0666666666667
C462,MDV,1902,27.625
C484,MEX,1902,20.5533333333333
C584,MHL,1902,27.4
C807,MKD,1902,9.48083333333333
C466,MLI,1902,28.4591666666667
C470,MLT,1902,18.3775
C104,MMR,1902,23.2258333333333
C499,MNE,1902,8.195
C496,MNG,1902,-0.54
C580,MNP,1902,27.3083333333333
C508,MOZ,1902,23.8833333333333
C478,MRT,1902,28.2908333333333
C500,MSR,1902,24.4083333333333
C474,MTQ,1902,25.35
C480,MUS,1902,22.6883333333333
C454,MWI,1902,22.1675
C458,MYS,1902,25.745
C175,MYT,1902,24.85
C516,NAM,1902,19.7616666666667
C540,NCL,1902,21.9875
C562,NER,1902,27.3608333333333
C574,NFK,1902,18.6333333333333
C566,NGA,1902,26.8316666666667
C558,NIC,1902,25.3583333333333
C570,NIU,1902,24.1216666666667
C528,NLD,1902,8.25666666666667
C578,NOR,1902,-0.381666666666667
C524,NPL,1902,13.7158333333333
C520,NRU,1902,27.7333333333333
C554,NZL,1902,9.03916666666667
C512,OMN,1902,26.9508333333333
C586,PAK,1902,20.7725
C591,PAN,1902,25.1491666666667
C612,PCN,1902,
C604,PER,1902,19.2125
C608,PHL,1902,25.765
C585,PLW,1902,27.5333333333333
C598,PNG,1902,24.6291666666667
C616,POL,1902,6.25333333333333
C630,PRI,1902,23.5575
C408,PRK,1902,6.03
C620,PRT,1902,14.2391666666667
C600,PRY,1902,24.2866666666667
C275,PSE,1902,17.7233333333333
C258,PYF,1902,21.7333333333333
C634,QAT,1902,26.8191666666667
C638,REU,1902,19.5966666666667
C642,ROU,1902,8.23083333333333
C643,RUS,1902,-6.61416666666667
C646,RWA,1902,18.9383333333333
C682,SAU,1902,24.8691666666667
C729,SDN,1902,27.0133333333333
C686,SEN,1902,28.64
C702,SGP,1902,26.6166666666667
C654,SHN,1902,18
C744,SJM,1902,-9.24583333333333
C090,SLB,1902,25.6016666666667
C694,SLE,1902,26.7075
C222,SLV,1902,24.6175
