iso_o,iso_o_num,iso_d,iso_d_num,contig,dist,distcap
CAN,C124,ABW,C533,0,3573.887,3696.783
ABW,C533,ABW,C533,0,5.225315,5.225315
TZA,C834,ABW,C533,0,12282.36,11881.49
BGR,C100,ABW,C533,0,9348.039,9348.039
ISR,C376,ABW,C533,0,10635.04,10635.04
DEU,C276,ABW,C533,0,8034.389,8474.606
LUX,C442,ABW,C533,0,7967.711,7967.711
HRV,C191,ABW,C533,0,8716.868,8716.868
LBR,C430,ABW,C533,0,6538.721,6538.721
KAZ,C398,ABW,C533,0,12977.21,12028.06
EGY,C818,ABW,C533,0,10383.61,10383.61
COM,C174,ABW,C533,0,12802.65,12802.65
CYM,C136,ABW,C533,0,1421.378,1421.378
NGA,C566,ABW,C533,0,8081.917,8425.322
SAU,C682,ABW,C533,0,12028.87,12028.87
IRQ,C368,ABW,C533,0,11426.34,11426.34
KOR,C410,ABW,C533,0,14183.6,14183.6
BHR,C048,ABW,C533,0,12308.36,12308.36
CHN,C156,ABW,C533,0,14155.35,14155.35
ARM,C051,ABW,C533,0,11107.78,11107.78
ECU,C218,ABW,C533,0,1698.399,1698.399
NPL,C524,ABW,C533,0,14828.1,14828.1
AUT,C040,ABW,C533,0,8719.13,8719.13
NER,C562,ABW,C533,0,7796.389,7796.389
ANT,C530,AFG,C004,0,13218.26,13218.26
NCL,C540,AFG,C004,0,12033.22,12033.22
NIC,C558,AFG,C004,0,14235.58,14235.58
ALB,C008,AFG,C004,0,4342.117,4342.117
BRB,C052,AFG,C004,0,12465.55,12465.55
MMR,C104,AFG,C004,0,3330.212,3330.212
RUS,C643,AFG,C004,0,3367.526,3367.526
TWN,C158,AFG,C004,0,5105.786,5105.786
SPM,C666,AFG,C004,0,9474.967,9474.967
HND,C340,AFG,C004,0,14078.02,14078.02
BLZ,C084,AFG,C004,0,13822.82,13822.82
GUY,C328,AFG,C004,0,12850.2,12850.2
CCK,C166,AFG,C004,0,5992.465,5992.465
RWA,C646,AFG,C004,0,5755.222,5755.222
IDN,C360,AFG,C004,0,6000.786,6000.786
UZB,C860,AFG,C004,1,751.2709,751.2709
CXR,C162,AFG,C004,0,6312.074,6312.074
GRL,C304,AFG,C004,0,7901.775,7901.775
LTU,C440,AFG,C004,0,4042.829,4042.829
AND,C020,AFG,C004,0,5806.359,5806.359
KNA,C659,AFG,C004,0,12346.53,12346.53
ARE,C784,AFG,C004,0,1813.615,1813.615
ITA,C380,AFG,C004,0,4935.994,4935.994
SLV,C222,AFG,C004,0,14203.46,14203.46
SDN,C729,AFG,C004,0,4222.921,4222.921
VEN,C862,AFG,C004,0,13208.57,13208.57
GIB,C292,AFG,C004,0,6593.598,6593.598
MDA,C498,AFG,C004,0,3626.967,3626.967
LBN,C422,AFG,C004,0,3088.869,3088.869
CPV,C132,AFG,C004,0,9324.58,9324.58
NOR,C578,AFG,C004,0,5014.602,5014.602
AUS,C036,AFG,C004,0,11433.49,11365.44
GUF,C254,AFG,C004,0,12506.79,12506.79
LAO,C418,AFG,C004,0,3784.918,3784.918
SLB,C090,AFG,C004,0,10680.29,10680.29
VGB,C092,AFG,C004,0,12377.8,12377.8
