cnum,iso3,area,dis_int,lat,lon,landlocked
554,NZL,268676,194.9612,-44.28333,174.7833,0
512,OMN,212379,173.3363,23.61667,58.63334,0
586,PAK,882872,353.4131,33.66667,73.13333,0
931,PAL,6256,29.74967,31.53,34.44,0
591,PAN,75648,103.4505,8.95,-79.5,0
612,PCN,47,2.578593,-25.06667,-130.0833,0
604,PER,1285216,426.4046,-12.1,-77.05,0
608,PHL,3e+05,206.0129,14.61667,120.9667,0
585,PLW,487,8.300385,7.333333,134.4833,0
598,PNG,462840,255.8876,-9.5,147.1167,0
616,POL,312685,210.3233,52.25,21,0
630,PRI,9104,35.88805,18.44,-66.13,0
408,PRK,120538,130.5858,39,125.7833,0
620,PRT,92389,114.3257,38.73333,-9.133333,0
600,PRY,406752,239.8826,-25.25,-57.66667,1
258,PYF,4167,24.27983,-17.53333,-149.5667,0
634,QAT,11437,40.22443,25.25,51.53333,0
638,REU,2517,18.87015,-20.86667,55.46667,0
642,ROM,238391,183.6448,44.41667,26.11667,0
643,RUS,17075400,1554.244,55.75,37.7,0
646,RWA,26338,61.0415,-1.933333,30.06667,1
682,SAU,2153168,551.9157,24.65,46.76667,0
736,SDN,2505813,595.399,15.55,32.53333,0
686,SEN,196722,166.8247,14.63333,-17.45,0
702,SGP,646,9.559828,1.283333,103.85,0
654,SHN,410,7.615979,-15.91667,-5.7,0
90,SLB,29785,64.91314,-9.466666,159.95,0
694,SLE,73326,101.8504,8.5,-13.28333,0
222,SLV,21041,54.55907,13.66667,-89.16666,0
674,SMR,61,2.937641,43.95,12.49,0
706,SOM,637657,300.3498,2.033333,45.35,0
666,SPM,242,5.851153,46.66667,-56.16667,0
678,STP,964,11.6781,0.2,6.716667,0
740,SUR,163820,152.236,5.866667,-55.23333,0
703,SVK,49036,83.2897,48.16667,17.16667,1
705,SVN,20256,53.53165,46.06667,14.5,0
752,SWE,449964,252.3032,59.33333,18.08333,0
748,SWZ,17364,49.56313,-26.33333,31.13333,1
690,SYC,455,8.02305,-4.633333,55.46667,0
760,SYR,184004,161.342,33.5,36.31667,0
796,TCA,430,7.799523,21.46667,-71.13333,0
148,TCD,1284005,426.2036,12.16667,14.98333,1
768,TGO,56785,89.62943,6.166667,1.35,0
764,THA,513115,269.427,13.73333,100.5,0
762,TJK,143095,142.2807,38.63334,68.85,1
772,TKL,10,1.189416,-9,-172,0
795,TKM,488100,262.7775,37.95,58.38334,1
626,TMP,14874,45.872,-8.57,125.58,0
776,TON,748,10.2869,-21.15,-175.2333,0
780,TTO,5130,26.93968,10.63333,-61.51667,0
788,TUN,164150,152.3892,36.83333,10.21667,0
792,TUR,780576,332.3085,41.03333,28.95,0
792,TUR,780576,332.3085,39.93,32.85,0
798,TUV,26,1.917876,-8.5,179.2,0
490,TWN,35875,71.24096,25.08333,121.5333,0
834,TZA,945090,365.6541,-6.85,39.3,0
834,TZA,945090,365.6541,-6.17,35.74,0
800,UGA,241038,184.6616,0.3333333,32.58333,1
804,UKR,603677,292.2376,50.41667,30.5,0
858,URY,176215,157.8902,-34.91667,-56.16667,0
842,USA,9529106,1161.074,40.75,-74,0
842,USA,9529106,1161.074,38.867,-77,0
860,UZB,447400,251.5833,41.26667,69.21667,1
670,VCT,389,7.418372,13.2,-61.23333,0
862,VEN,911930,359.182,10.58333,-66.93333,0
92,VGB,153,4.652427,18.45,-64.61667,0
704,VNM,331114,216.4326,21.01667,105.8667,0
548,VUT,14763,45.70052,-17.75,168.3,0
876,WLF,274,6.225999,-13.3,-176.2,0
882,WSM,2842,20.05145,-13.8,171.75,0
887,YEM,547244,278.243,15.4,44.23333,0
891,YUG,102173,120.227,44.83333,20.5,0
711,ZAF,1219912,415.4302,-25.73,28.22,0
711,ZAF,1219912,415.4302,-33.93333,18.46667,0
180,ZAR,2345410,576.0275,-4.3,15.3,0
894,ZMB,752614,326.3022,-15.46667,28.26667,1
716,ZWE,390759,235.1193,-17.83333,31.05,1
