Country_num,ISO,Country,Irrigated_Crops,Year,Month,Area,Crop_Area
C004,AFG,Afghanistan,Wheat,2011,10,1303,0
C004,AFG,Afghanistan,Vegetables,2011,10,69,3.639240506
C004,AFG,Afghanistan,Cropping_Intensity,2011,10,114.7679325,114.7679325
C004,AFG,Afghanistan,Actually_Irrigated,2011,10,59.09340248,59.09340248
C004,AFG,Afghanistan,Rice,2011,10,208,10.97046414
C004,AFG,Afghanistan,Barley,2011,10,116,0
C004,AFG,Afghanistan,Maize,2011,10,183,9.651898734
C004,AFG,Afghanistan,AEIfull,2011,10,3208.48,3208.48
C004,AFG,Afghanistan,Sunflower,2011,10,10,0.52742616
C004,AFG,Afghanistan,Potatoes,2011,10,15,0
C004,AFG,Afghanistan,Pulses,2011,10,27,1.424050633
C004,AFG,Afghanistan,Grapes,2011,10,61,3.217299578
C004,AFG,Afghanistan,Sesame,2011,10,10,0.52742616
C004,AFG,Afghanistan,Sugar beets,2011,10,2,0.105485232
C004,AFG,Afghanistan,Fruits,2011,10,137,7.225738397
C004,AFG,Afghanistan,Sugarcane,2011,10,2,0.105485232
C004,AFG,Afghanistan,AHIfull,2011,10,2176,0
C004,AFG,Afghanistan,AAIfull,2011,10,1896,39.1350211
C004,AFG,Afghanistan,Cotton,2011,10,33,1.740506329
C004,AFG,Afghanistan,Maize,2011,11,183,0
C004,AFG,Afghanistan,AEItot,2011,11,3208.48,3208.48
C004,AFG,Afghanistan,Rice,2011,11,208,0
C004,AFG,Afghanistan,Barley,2011,11,116,0
C004,AFG,Afghanistan,Actually_Irrigated,2011,11,59.09340248,59.09340248
C004,AFG,Afghanistan,Wheat,2011,11,1303,68.72362869
C004,AFG,Afghanistan,AEIfull,2011,11,3208.48,3208.48
C004,AFG,Afghanistan,Cropping_Intensity,2011,11,114.7679325,114.7679325
C004,AFG,Afghanistan,Vegetables,2011,11,69,0
C004,AFG,Afghanistan,AAIfull,2011,11,1896,81.01265823
C004,AFG,Afghanistan,Grapes,2011,11,61,3.217299578
C004,AFG,Afghanistan,Sunflower,2011,11,10,0
C004,AFG,Afghanistan,AHIfull,2011,11,2176,0
C004,AFG,Afghanistan,Fruits,2011,11,137,7.225738397
C004,AFG,Afghanistan,Sesame,2011,11,10,0
C004,AFG,Afghanistan,Potatoes,2011,11,15,0
C004,AFG,Afghanistan,Cotton,2011,11,33,1.740506329
C004,AFG,Afghanistan,Sugarcane,2011,11,2,0.105485232
C004,AFG,Afghanistan,Sugar beets,2011,11,2,0
C004,AFG,Afghanistan,Pulses,2011,11,27,0
C004,AFG,Afghanistan,AEIfull,2011,12,3208.48,3208.48
C004,AFG,Afghanistan,Actually_Irrigated,2011,12,59.09340248,59.09340248
C004,AFG,Afghanistan,AEItot,2011,12,3208.48,3208.48
C004,AFG,Afghanistan,Cropping_Intensity,2011,12,114.7679325,114.7679325
C004,AFG,Afghanistan,Grapes,2011,12,61,3.217299578
C004,AFG,Afghanistan,Vegetables,2011,12,69,0
C004,AFG,Afghanistan,Fruits,2011,12,137,7.225738397
C004,AFG,Afghanistan,Maize,2011,12,183,0
C004,AFG,Afghanistan,Wheat,2011,12,1303,68.72362869
C004,AFG,Afghanistan,Rice,2011,12,208,0
C004,AFG,Afghanistan,Barley,2011,12,116,6.11814346
C004,AFG,Afghanistan,AAIfull,2011,12,1896,85.39029536
C004,AFG,Afghanistan,AHIfull,2011,12,2176,0
C004,AFG,Afghanistan,Cotton,2011,12,33,0
C004,AFG,Afghanistan,Sugar beets,2011,12,2,0
C004,AFG,Afghanistan,Sugarcane,2011,12,2,0.105485232
C004,AFG,Afghanistan,Sesame,2011,12,10,0
C004,AFG,Afghanistan,Pulses,2011,12,27,0
C004,AFG,Afghanistan,Sunflower,2011,12,10,0
C004,AFG,Afghanistan,Potatoes,2011,12,15,0
C024,AGO,Angola,AEItot,2005,01,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,01,13.47145413,13.47145413
C024,AGO,Angola,AEIfull,2005,01,85.529,85.529
C024,AGO,Angola,Sweet potatoes,2005,01,0.786,6.821732338
C024,AGO,Angola,Potatoes,2005,01,0.203,1.761846902
C024,AGO,Angola,Other temporary crops,2005,01,1.652,14.33778858
C024,AGO,Angola,Vegetables,2005,01,2.695,23.39003645
C024,AGO,Angola,Cropping_Intensity,2005,01,99.95660476,99.95660476
C024,AGO,Angola,Pulses,2005,01,1.144,9.9288318
C024,AGO,Angola,Cassava,2005,01,0.322,2.794653706
C024,AGO,Angola,Maize,2005,01,4.715,0
C024,AGO,Angola,AHIfull,2005,01,11.517,0
C024,AGO,Angola,AAIfull,2005,01,11.522,59.03488978
C024,AGO,Angola,AEItot,2005,02,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,02,13.47145413,13.47145413
C024,AGO,Angola,AEIfull,2005,02,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,02,99.95660476,99.95660476
C024,AGO,Angola,Sweet potatoes,2005,02,0.786,6.821732338
C024,AGO,Angola,AAIfull,2005,02,11.522,59.03488978
C024,AGO,Angola,Potatoes,2005,02,0.203,1.761846902
C024,AGO,Angola,Vegetables,2005,02,2.695,23.39003645
C024,AGO,Angola,Other temporary crops,2005,02,1.652,14.33778858
C024,AGO,Angola,AHIfull,2005,02,11.517,0
C024,AGO,Angola,Pulses,2005,02,1.144,9.9288318
C024,AGO,Angola,Cassava,2005,02,0.322,2.794653706
C024,AGO,Angola,Maize,2005,02,4.715,0
C024,AGO,Angola,Actually_Irrigated,2005,03,13.47145413,13.47145413
C024,AGO,Angola,AEItot,2005,03,85.529,85.529
C024,AGO,Angola,AEIfull,2005,03,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,03,99.95660476,99.95660476
C024,AGO,Angola,AAIfull,2005,03,11.522,59.03488978
C024,AGO,Angola,Other temporary crops,2005,03,1.652,14.33778858
C024,AGO,Angola,Sweet potatoes,2005,03,0.786,6.821732338
C024,AGO,Angola,Pulses,2005,03,1.144,9.9288318
C024,AGO,Angola,Potatoes,2005,03,0.203,1.761846902
C024,AGO,Angola,Cassava,2005,03,0.322,2.794653706
C024,AGO,Angola,Vegetables,2005,03,2.695,23.39003645
C024,AGO,Angola,Maize,2005,03,4.715,0
C024,AGO,Angola,AHIfull,2005,03,11.517,0
C024,AGO,Angola,AEItot,2005,04,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,04,13.47145413,13.47145413
C024,AGO,Angola,Cropping_Intensity,2005,04,99.95660476,99.95660476
C024,AGO,Angola,AEIfull,2005,04,85.529,85.529
C024,AGO,Angola,AAIfull,2005,04,11.522,59.03488978
C024,AGO,Angola,AHIfull,2005,04,11.517,0
C024,AGO,Angola,Other temporary crops,2005,04,1.652,14.33778858
C024,AGO,Angola,Sweet potatoes,2005,04,0.786,6.821732338
C024,AGO,Angola,Potatoes,2005,04,0.203,1.761846902
C024,AGO,Angola,Vegetables,2005,04,2.695,23.39003645
C024,AGO,Angola,Cassava,2005,04,0.322,2.794653706
C024,AGO,Angola,Maize,2005,04,4.715,0
C024,AGO,Angola,Pulses,2005,04,1.144,9.9288318
C024,AGO,Angola,AEItot,2005,05,85.529,85.529
C024,AGO,Angola,AEIfull,2005,05,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,05,13.47145413,13.47145413
C024,AGO,Angola,Cropping_Intensity,2005,05,99.95660476,99.95660476
C024,AGO,Angola,AAIfull,2005,05,11.522,0
C024,AGO,Angola,Sweet potatoes,2005,05,0.786,0
C024,AGO,Angola,Cassava,2005,05,0.322,0
C024,AGO,Angola,Maize,2005,05,4.715,0
C024,AGO,Angola,Pulses,2005,05,1.144,0
C024,AGO,Angola,Vegetables,2005,05,2.695,0
C024,AGO,Angola,Potatoes,2005,05,0.203,0
C024,AGO,Angola,Other temporary crops,2005,05,1.652,0
C024,AGO,Angola,AHIfull,2005,05,11.517,0
C024,AGO,Angola,AEItot,2005,06,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,06,13.47145413,13.47145413
C024,AGO,Angola,AAIfull,2005,06,11.522,40.92171498
C024,AGO,Angola,Cropping_Intensity,2005,06,99.95660476,99.95660476
C024,AGO,Angola,AEIfull,2005,06,85.529,85.529
C024,AGO,Angola,AHIfull,2005,06,11.517,0
C024,AGO,Angola,Other temporary crops,2005,06,1.652,0
C024,AGO,Angola,Cassava,2005,06,0.322,0
C024,AGO,Angola,Sweet potatoes,2005,06,0.786,0
C024,AGO,Angola,Potatoes,2005,06,0.203,0
C024,AGO,Angola,Maize,2005,06,4.715,40.92171498
C024,AGO,Angola,Pulses,2005,06,1.144,0
C024,AGO,Angola,Vegetables,2005,06,2.695,0
C024,AGO,Angola,Actually_Irrigated,2005,07,13.47145413,13.47145413
C024,AGO,Angola,AEItot,2005,07,85.529,85.529
C024,AGO,Angola,AEIfull,2005,07,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,07,99.95660476,99.95660476
C024,AGO,Angola,AAIfull,2005,07,11.522,40.92171498
C024,AGO,Angola,AHIfull,2005,07,11.517,0
C024,AGO,Angola,Cassava,2005,07,0.322,0
C024,AGO,Angola,Sweet potatoes,2005,07,0.786,0
C024,AGO,Angola,Potatoes,2005,07,0.203,0
C024,AGO,Angola,Pulses,2005,07,1.144,0
C024,AGO,Angola,Other temporary crops,2005,07,1.652,0
C024,AGO,Angola,Vegetables,2005,07,2.695,0
C024,AGO,Angola,Maize,2005,07,4.715,40.92171498
C024,AGO,Angola,AEItot,2005,08,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,08,13.47145413,13.47145413
C024,AGO,Angola,AEIfull,2005,08,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,08,99.95660476,99.95660476
C024,AGO,Angola,Pulses,2005,08,1.144,0
C024,AGO,Angola,Other temporary crops,2005,08,1.652,0
C024,AGO,Angola,AHIfull,2005,08,11.517,0
C024,AGO,Angola,AAIfull,2005,08,11.522,40.92171498
C024,AGO,Angola,Sweet potatoes,2005,08,0.786,0
C024,AGO,Angola,Potatoes,2005,08,0.203,0
C024,AGO,Angola,Cassava,2005,08,0.322,0
C024,AGO,Angola,Vegetables,2005,08,2.695,0
C024,AGO,Angola,Maize,2005,08,4.715,40.92171498
C024,AGO,Angola,AEItot,2005,09,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,09,13.47145413,13.47145413
C024,AGO,Angola,AEIfull,2005,09,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,09,99.95660476,99.95660476
C024,AGO,Angola,AAIfull,2005,09,11.522,40.92171498
C024,AGO,Angola,AHIfull,2005,09,11.517,0
C024,AGO,Angola,Other temporary crops,2005,09,1.652,0
C024,AGO,Angola,Sweet potatoes,2005,09,0.786,0
C024,AGO,Angola,Potatoes,2005,09,0.203,0
C024,AGO,Angola,Vegetables,2005,09,2.695,0
C024,AGO,Angola,Maize,2005,09,4.715,40.92171498
C024,AGO,Angola,Pulses,2005,09,1.144,0
C024,AGO,Angola,Cassava,2005,09,0.322,0
C024,AGO,Angola,AEItot,2005,10,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,10,13.47145413,13.47145413
C024,AGO,Angola,AEIfull,2005,10,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,10,99.95660476,99.95660476
C024,AGO,Angola,Pulses,2005,10,1.144,0
C024,AGO,Angola,AAIfull,2005,10,11.522,40.92171498
C024,AGO,Angola,Other temporary crops,2005,10,1.652,0
C024,AGO,Angola,AHIfull,2005,10,11.517,0
C024,AGO,Angola,Sweet potatoes,2005,10,0.786,0
C024,AGO,Angola,Potatoes,2005,10,0.203,0
C024,AGO,Angola,Cassava,2005,10,0.322,0
C024,AGO,Angola,Maize,2005,10,4.715,40.92171498
C024,AGO,Angola,Vegetables,2005,10,2.695,0
C024,AGO,Angola,AEItot,2005,11,85.529,85.529
C024,AGO,Angola,AEIfull,2005,11,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,11,13.47145413,13.47145413
C024,AGO,Angola,Cropping_Intensity,2005,11,99.95660476,99.95660476
C024,AGO,Angola,AHIfull,2005,11,11.517,0
C024,AGO,Angola,AAIfull,2005,11,11.522,0
C024,AGO,Angola,Other temporary crops,2005,11,1.652,0
C024,AGO,Angola,Sweet potatoes,2005,11,0.786,0
C024,AGO,Angola,Potatoes,2005,11,0.203,0
C024,AGO,Angola,Maize,2005,11,4.715,0
C024,AGO,Angola,Vegetables,2005,11,2.695,0
C024,AGO,Angola,Pulses,2005,11,1.144,0
C024,AGO,Angola,Cassava,2005,11,0.322,0
C024,AGO,Angola,AEIfull,2005,12,85.529,85.529
C024,AGO,Angola,Actually_Irrigated,2005,12,13.47145413,13.47145413
C024,AGO,Angola,AEItot,2005,12,85.529,85.529
C024,AGO,Angola,Cropping_Intensity,2005,12,99.95660476,99.95660476
C024,AGO,Angola,Pulses,2005,12,1.144,9.9288318
C024,AGO,Angola,AHIfull,2005,12,11.517,0
C024,AGO,Angola,AAIfull,2005,12,11.522,59.03488978
C024,AGO,Angola,Potatoes,2005,12,0.203,1.761846902
C024,AGO,Angola,Other temporary crops,2005,12,1.652,14.33778858
C024,AGO,Angola,Cassava,2005,12,0.322,2.794653706
C024,AGO,Angola,Sweet potatoes,2005,12,0.786,6.821732338
C024,AGO,Angola,Vegetables,2005,12,2.695,23.39003645
C024,AGO,Angola,Maize,2005,12,4.715,0
C008,ALB,Albania,Pulses,2006,01,13.1,0
C008,ALB,Albania,Fodder temporary,2006,01,14,13.63592091
C008,ALB,Albania,Rapeseed,2006,01,9,0
C008,ALB,Albania,Potatoes,2006,01,2.9,0
C008,ALB,Albania,Fruits,2006,01,8.3,8.084153112
C008,ALB,Albania,Other cereals,2006,01,4.2,0
