Country_num,Year,Agric_Water_Withdrawal,Agric_Water_Withdrawal_Share_of_Total,Water_Dependency_Ratio,Irrigation_Water_Withdrawal,Livestock_Water_Withdrawal
C558,2018,1.185,76.7188916224,5.0510576222,1.11,0.075
C558,2019,1.185,76.7188916224,5.0510576222,1.11,0.075
C562,2017,1.366407,86.4109596664,89.7209985316,1.366,0.1733
C562,2018,2.209407,90.8655975646,89.7209985316,1.366,0.1733
C562,2019,2.351407,91.0231061122,89.7209985316,1.366,0.1733
C566,2017,5.51,44.1683366733,22.7812718379,4.549,0.233
C566,2018,5.51,44.1683366733,22.7812718379,4.549,0.233
C566,2019,5.51,44.1683366733,22.7812718379,4.549,0.233
C570,2017,0,0,0,0,0
C570,2018,0,0,0,0,0
C570,2019,0,0,0,0,0
C578,2017,0.8449,31.3949167658,2.7989821883,0.1128,0
C578,2018,0.8449,31.3949167658,2.7989821883,0.1128,0
C578,2019,0.8449,31.3949167658,2.7989821883,0.1128,0
C583,2017,0,0,0,0,0
C583,2018,0,0,0,0,0
C583,2019,0,0,0,0,0
C584,2017,0,0,0,0,0
C584,2018,0,0,0,0,0
C584,2019,0,0,0,0,0
C585,2017,0,0,0,0,0
C585,2018,0,0,0,0,0
C585,2019,0,0,0,0,0
C586,2017,172.4,93.9765603707,77.7147487844,0,0
C586,2018,172.4,93.9765603707,77.7147487844,0,0
C586,2019,172.4,93.9765603707,77.7147487844,0,0
C591,2017,0.4461,36.8251609708,1.9410785046,0.4461,0
C591,2018,0.4461,36.8251609708,1.9410785046,0.4461,0
C591,2019,0.4461,36.8251609708,1.9410785046,0.4461,0
C598,2017,0.001,0.2550369804,0,0,0
C598,2018,0.001,0.2550369804,0,0,0
C598,2019,0.001,0.2550369804,0,0,0
C600,2017,1.897,78.6158309159,69.8274750496,0,0.297
C600,2018,1.897,78.6158309159,69.8274750496,0,0.297
C600,2019,1.897,78.6158309159,69.8274750496,0,0.297
C604,2017,30.0219,85.8853180302,12.7034790935,0,0
C604,2018,32.011,85.7697872568,12.7034790935,0,0.009
C604,2019,32.8,85.084306096,12.7034790935,32.79,0.01
C608,2017,67.96160962,74.0392874138,0,67.04,0.167599618
C608,2018,67.96835134,73.7521331696,0,67.04726,0.167713505
C608,2019,67.83082481,78.9950838572,0,67.07814883,0.168486879
C616,2017,1.018,10.0982045432,11.4049586777,0.081,0.221
C616,2018,1.389,13.8470740704,11.4049586777,0.084,0.432
C616,2019,1.389,14.0886499645,11.4049586777,0.084,0.44
C620,2017,3.41948,55.4811367899,50.9043927649,3.3955,0
C620,2018,3.41948,56.9913333333,50.9043927649,3.39545,0
C620,2019,3.41948,55.7564215239,50.9043927649,3.39545,0
C624,2017,0.144,75.7894736842,49.0445859873,0,0
C624,2018,0.144,75.7894736842,49.0445859873,0,0
C624,2019,0.144,75.7894736842,49.0445859873,0,0
C626,2017,1.071,91.3822525597,0,0,0
C626,2018,1.071,91.3822525597,0,0,0
C626,2019,1.071,91.3822525597,0,0,0
C630,2017,0.1135,3.4661780424,0,0.0528,0
C630,2018,0.1135,3.4661780424,0,0.0528,0
C630,2019,0.1135,3.4661780424,0,0.0528,0
C634,2017,0.23,26.9636576788,3.4482758621,0,0
C634,2018,0.23,26.1066969353,3.4482758621,0,0
C634,2019,0.23,25.0817884406,3.4482758621,0,0
C642,2017,1.491,22.0138786358,80.010376869,0.441,0.02
C642,2018,1.427,22.2412718204,80.010376869,0.441,0.02
C642,2019,1.427,22.2412718204,80.010376869,0.441,0.02
C643,2017,18.66,28.9706567303,4.7165527368,12.46,0
C643,2018,18.64,28.7565566183,4.7165527368,7,0
C643,2019,18.64,28.7565566183,4.7165527368,7,0
C646,2017,0.3328421053,60.4885487421,28.5714285714,0,0
C646,2018,0.3464210526,60.2337105621,28.5714285714,0,0
C646,2019,0.36,59.0163934426,28.5714285714,0.36,0
C659,2017,2e-04,1.2820512821,0,2e-04,0
C659,2018,2e-04,1.2820512821,0,2e-04,0
C659,2019,2e-04,1.2820512821,0,2e-04,0
C662,2017,0.0304,70.8624708625,0,0,0
C662,2018,0.0304,70.8624708625,0,0,0
C662,2019,0.0304,70.8624708625,0,0,0
C670,2017,0,0,0,0.0101,0
C670,2018,0,0,0,0.0101,0
C670,2019,0,0,0,0.0101,0
C678,2017,0.0256,62.5916870416,0,0.0224,0.0032
C678,2018,0.0256,62.5916870416,0,0.0224,0.0032
